toan,van,anh,lich_su,dia_ly,gdcd,nganh_hoc
7.8,8.25,9.0,6.0,6.25,7.75,1
8.0,8.5,9.0,6.5,7.0,8.25,1
8.0,6.0,5.8,5.75,6.75,7.0,1
3.8,6.75,3.6,5.0,5.5,7.0,6
7.6,8.0,8.0,6.25,6.25,9.0,1
4.2,8.75,5.0,5.0,7.0,7.25,6
7.6,8.75,8.6,7.25,6.5,8.0,5
4.0,2.5,4.2,4.25,4.25,5.25,6
7.2,7.75,9.4,6.5,8.0,8.25,7
6.4,8.75,7.8,4.5,6.75,8.5,5
6.4,8.0,8.4,6.5,7.0,7.25,5
6.2,8.75,6.8,6.0,7.25,7.75,7
5.0,8.5,4.4,3.75,6.5,5.75,7
7.8,6.5,8.4,5.75,7.25,8.0,1
6.2,8.25,5.0,6.75,8.5,8.25,6
7.8,9.25,9.2,6.5,6.75,8.5,5
7.2,7.25,6.4,4.5,6.5,6.0,1
7.0,8.75,8.0,6.5,8.0,8.75,5
6.2,6.75,5.2,8.25,6.75,7.5,6
5.6,3.5,2.8,3.0,2.5,3.5,1
6.2,8.25,6.2,6.0,7.5,6.75,7
7.4,7.25,8.0,6.25,6.0,8.25,1
8.2,9.0,7.4,7.0,7.5,9.0,5
6.6,7.75,4.6,7.5,8.0,8.5,6
4.2,6.25,4.2,6.75,7.25,7.75,6
6.0,5.5,5.8,4.5,6.75,6.5,7
7.4,6.75,8.0,6.0,6.0,7.5,1
7.4,8.25,6.6,7.0,7.5,8.75,7
7.4,8.25,9.2,6.75,7.25,8.5,5
8.0,9.5,9.8,8.25,9.0,9.75,6
7.8,8.5,6.4,7.0,8.0,9.5,6
6.2,7.5,5.2,6.5,9.0,7.0,7
8.0,8.75,9.8,8.25,7.75,8.25,5
7.0,6.5,8.4,5.25,7.75,7.5,7
8.4,8.75,9.2,7.25,6.75,8.0,1
5.4,6.25,4.4,5.75,7.0,7.75,6
6.8,9.25,7.4,7.25,7.25,8.0,5
7.0,9.25,9.4,7.5,8.75,8.75,7
6.8,7.25,5.6,6.0,7.25,8.25,6
7.6,9.0,8.4,6.5,6.75,8.75,5
7.8,6.75,8.6,5.5,7.0,8.0,1
8.2,8.75,7.0,5.25,6.25,9.0,1
7.4,9.0,7.8,8.25,8.25,7.25,5
6.8,7.25,8.0,6.25,6.75,8.5,5
7.8,8.25,9.2,9.0,8.25,8.5,6
6.2,8.5,6.6,8.5,8.0,9.0,6
7.4,9.0,9.2,6.75,6.75,8.25,5
8.0,8.5,8.0,6.75,7.5,9.0,1
6.8,9.0,8.0,7.25,7.75,8.75,5
6.2,7.25,4.0,7.5,6.75,8.5,6
7.4,8.25,6.8,7.25,6.75,8.5,7
8.0,9.0,9.4,7.5,8.0,8.5,5
9.2,8.5,7.4,5.75,7.5,8.5,1
8.0,8.0,7.8,6.0,7.25,8.25,1
3.2,4.0,5.8,3.5,4.25,5.0,7
4.8,7.5,8.0,7.0,8.0,8.75,7
7.4,7.5,7.0,6.0,6.75,8.25,1
4.6,8.75,3.6,7.25,8.25,9.0,6
6.2,6.5,6.4,5.75,8.0,8.0,7
6.8,8.75,8.6,7.0,7.25,8.25,5
5.8,9.0,7.0,6.0,8.0,9.0,5
6.6,8.0,8.8,7.25,7.25,8.25,5
6.8,7.0,6.0,6.5,6.75,9.25,6
7.6,5.75,8.2,7.5,9.0,8.5,7
6.6,8.5,6.8,7.25,7.0,8.75,7
7.6,6.75,4.6,6.5,6.75,8.5,6
7.4,6.0,9.0,5.75,7.5,7.75,7
5.6,7.0,3.4,4.75,5.75,7.75,6
6.8,7.25,8.4,6.25,4.5,9.25,5
7.6,7.0,8.2,8.25,6.25,7.0,1
7.6,6.5,8.0,6.25,7.5,9.0,1
